Description,08/31/82,09/30/82,10/29/82,11/30/82,12/31/82,01/31/83,02/28/83,03/31/83,04/29/83,05/31/83,06/30/83,07/29/83,08/31/83,09/30/83,10/31/83,11/30/83,12/30/83,01/31/84,02/29/84,03/30/84,04/30/84,05/31/84,06/29/84,07/31/84,08/31/84,09/28/84,10/31/84,11/30/84,12/31/84,01/31/85,02/28/85,03/29/85,04/30/85,05/31/85,06/28/85,07/31/85,08/30/85,09/30/85,10/31/85,11/29/85,12/31/85,01/31/86,02/28/86,03/31/86,04/30/86,05/30/86,06/30/86,07/31/86,08/29/86,09/30/86,10/31/86,11/28/86,12/31/86,01/30/87,02/27/87,03/31/87,04/30/87,05/29/87,06/30/87,07/31/87,08/31/87,09/30/87,10/30/87,11/30/87,12/31/87,01/29/88,02/29/88,03/31/88,04/29/88,05/31/88,06/30/88,07/29/88,08/31/88,09/30/88,10/31/88,11/30/88,12/30/88,01/31/89,02/28/89,03/31/89,04/28/89,05/31/89,06/30/89,07/31/89,08/31/89,09/29/89,10/31/89,11/30/89,12/29/89,01/31/90,02/28/90,03/30/90,04/30/90,05/31/90,06/29/90,07/31/90,08/31/90,09/28/90,10/31/90,11/30/90,12/31/90,01/31/91,02/28/91,03/28/91,04/30/91,05/31/91,06/28/91,07/31/91,08/30/91,09/30/91,10/31/91,11/29/91,12/31/91,01/31/92,02/28/92,03/31/92,04/30/92,05/29/92,06/30/92,07/31/92,08/31/92,09/30/92,10/30/92,11/30/92,12/31/92,01/29/93,02/26/93,03/31/93,04/30/93,05/28/93,06/30/93,07/30/93,08/31/93,09/30/93,10/29/93,11/30/93,12/31/93,01/31/94,02/28/94,03/31/94,04/29/94,05/31/94,06/30/94,07/29/94,08/31/94,09/30/94,10/31/94,11/30/94,12/30/94,01/31/95,02/28/95,03/31/95,04/28/95,05/31/95,06/30/95,07/31/95,08/31/95,09/29/95,10/31/95,11/30/95,12/29/95,01/31/96,02/29/96,03/29/96,04/30/96,05/31/96,06/28/96,07/31/96,08/30/96,09/30/96,10/31/96,11/29/96,12/31/96,01/31/97,02/28/97,03/31/97,04/30/97,05/30/97,06/30/97,07/31/97,08/29/97,09/30/97,10/31/97,11/28/97,12/31/97,01/30/98,02/27/98,03/31/98,04/30/98,05/29/98,06/30/98,07/31/98,08/31/98,09/30/98,10/30/98,11/30/98,12/31/98,01/29/99,02/26/99,03/31/99,04/30/99,05/28/99,06/30/99,07/30/99,08/31/99,09/30/99,10/29/99,11/30/99,12/31/99,01/31/00,02/29/00,03/31/00,04/28/00,05/31/00,06/30/00,07/31/00,08/31/00,09/29/00,10/31/00,11/30/00,12/29/00,01/31/01,02/28/01,03/30/01,04/30/01,05/31/01,06/29/01,07/31/01,08/31/01,09/28/01,10/31/01,11/30/01,12/31/01,01/31/02,02/28/02,03/28/02,04/30/02,05/31/02,06/28/02,07/31/02,08/30/02,09/30/02,10/31/02,11/29/02,12/31/02,01/31/03,02/28/03,03/31/03,04/30/03,05/30/03,06/30/03,07/31/03,08/29/03,09/30/03,10/31/03,11/28/03,12/31/03,01/30/04,02/27/04,03/31/04,04/30/04,05/28/04,06/30/04,07/30/04,08/31/04,09/30/04,10/29/04,11/30/04,12/31/04,01/31/05,02/28/05,03/31/05,04/29/05,05/31/05,06/30/05,07/29/05,08/31/05,09/30/05,10/31/05,11/30/05,12/30/05,01/31/06,02/28/06,03/31/06,04/28/06,05/31/06,06/30/06,07/31/06,08/31/06,09/29/06,10/31/06,11/30/06,12/29/06,01/31/07,02/28/07,03/30/07,04/30/07,05/31/07,06/29/07,07/31/07,08/31/07,09/28/07,10/31/07,11/30/07,12/31/07,01/31/08,02/29/08,03/31/08,04/30/08,05/30/08,06/30/08,07/31/08,08/29/08,09/30/08,10/31/08,11/28/08,12/31/08,01/30/09,02/27/09,03/31/09,04/30/09,05/29/09,06/30/09,07/31/09
First Eagle US Value A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3.4424,-0.6893,-1.8712,0.4458,-0.696,-1.5604,-3.6022,4.0486,-3.6749,9.6358,1.7299,1.3406,0.1322,-3.0557,3.2752,0.619,1.799,0.1226,-4.0082,-4.2624,1.3758,-3.3697,-0.7834,0.2526,-3.8881,-1.0849,0.5375,-3.2257,0.5309,-0.8562,2.7014,-0.4395,-2.1085,2.8958,-0.3038,-1.7134,0.4204,-3.9275,-1.0356,3.6582,-0.0208,1.7834,2.95,-4.5465,-3.3101,-3.0783,2.6977,1.166,1.2566,-2.6518,1.7107,-6.1057,-0.7874,-3.1757,0.7169,3.9459,-0.7726,0.8683,-2.2073,0.4461,-1.9029,-1.0603,-0.0566,0.0985,0.8509,-1.5855,1.4957,-1.69,2.4519,6.0913,-1.0116,1.3902,1.4426,6.3162,2.3575,0.6874,3.5241,-1.2489,0.3798,-0.5564,5.1788,-7.7212,-3.4535,0.2616,5.548099,6.1691,-3.4793,10.3014,8.7906,-4.5069,-6.2688,1.4206,-0.5303,-6.4478
JHancock Classic Value A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.7756,-2.0133,0.3692,2.7481,1.8517,-3.7225,3.897,0.5117,-1.6366,1.7157,-1.7007,-2.6391,3.1312,-1.5874,-2.5381,-0.1728,-1.7493,-2.8612,2.44,0.6945,0.4963,0.6295,2.151,-3.5898,-2.1602,-0.0127,-2.84,1.174,3.7126,-1.5157,-3.8545,0.7696,1.2216,7.7682,4.7032,0.1439,-3.5224,0.2014,-5.2388,0.5662,1.4835,-0.8137,-3.0504,-13.4522,14.4487,3.5266,5.1371,-7.7351,-1.0651,1.7527,4.1783,4.6928,4.4854,-1.252,-0.1791,2.7831,-1.1615,-0.6854,-0.8961,-3.8394,3.7724,1.9137,0.8904,-2.0835,0.567599,-2.2022,0.1715,-0.9042,-0.7946,-2.687,3.0319,-5.3509,3.9258,3.5966,-4.4955,6.4727,4.590701,-1.1857,0.8914,0.7228,-2.2493,-0.637601,-0.3913,-0.8709,-1.9529,-1.6467,0.0937,-1.3752,-2.5269,2.7183,-0.8921,-0.4933,-1.5252,3.3671,0.0503,-2.5478,1.2435,-0.5473,-2.612,-1.3166,-3.9611,1.9155,0.6958,-0.1904,1.5737,3.7849,-1.8313,-2.9571,-3.949,2.2958,0.6661,1.598,-0.5779,2.1773,-5.6719,0.9957,-3.9818,0.9365,1.8384,-2.9172,3.0248,-0.2375,3.3469,-2.4127,-2.7801,1.6067,-0.233,-0.5564,-1.5703,4.9434,-0.7759,0.5917,1.3293,-1.1601,-0.706,-2.7296,-1.144,-2.8481,2.3851,-4.296,-2.6407,1.3175,-4.1172,-5.623499,-3.2306,-3.8229,-6.6604,0.419399,0.5147,-1.6382,2.8616,-1.6491,5.0139,3.4733,4.928,-0.1147,-1.8059
Legg Mason Value C,3.0162,-2.2571,-0.0326,-0.1059,-0.8752,-1.1645,-0.402,0.616,-0.2893,-2.9045,-1.2975,-0.9569,3.5033,0.6599,2.5753,0.025,2.2195,-1.8682,-0.5796,0.9602,1.8725,-0.6093,1.3519,2.1435,-0.0499,-0.171,2.7173,2.304,1.8371,-2.4441,-1.6521,0.442,1.7431,2.1603,0.3817,-1.2313,0.5393,1.6135,0.5339,-0.1343,-1.5861,1.2711,1.0952,-0.6591,-2.3303,0.586,0.7604,0.4191,2.9553,-1.5254,-0.4572,-0.4717,0.5152,-2.2168,-1.5725,-1.2408,0.2391,0.152,1.8228,-0.7839,0.3165,-0.6128,4.6122,-3.5453,0.9546,2.0236,-2.7096,-4.7047,-0.803,1.9436,-0.367,-0.5891,-1.0422,1.5136,2.0667,0.675,-1.0565,0.7514,-2.1666,1.3459,-0.4151,-0.443,0.6948,2.7073,1.9615,1.4563,1.3992,0.7283,-1.2046,-0.2639,0.1666,-1.5198,0.0649,1.7005,0.3079,2.5343,1.2526,-1.7544,5.4405,-2.2832,0.0228,-3.6199,-4.9667,-5.3845,0.4288,-0.7218,0.5391,3.4388,0.5701,1.3847,-1.6727,-0.83,5.5788,-9.1306,-2.4519,-0.1707,3.0421,-1.4639,0.3187,-0.3083,-0.9011,-0.4212,-1.3878,-0.8221,-1.6011,-3.5678,-2.7362,0.116,-1.6397,-1.5013,0.7891,-1.829,-0.605,-2.397,-0.5805,1.1863,1.9661,2.4263,-2.107,-0.7504,0.4765,2.0157,-2.122,2.1674,2.3131,-2.9221,3.4448,-0.053,-1.4551,1.4294,-0.061,0.9688,1.5782,2.8252,0.8901,1.0194,-1.2099,2.4748,0.9483,0.7257,-0.043,4.0999,-0.6575,-0.7471,-1.5799,0.7944,0.3466,3.7071,0.0184,3.2636,4.0357,4.9332,-4.539,6.7678,0.0028,-2.7521,5.5073,-1.5792,-1.3306,9.229799,-4.4692,-0.8976,-2.3537,-0.2771,-2.6803,4.7572,4.4093,-0.99,2.221,3.5982,2.9583,10.0569,-3.4499,1.2064,8.9179,4.7085,9.904401,11.3311,4.6982,12.0221,-5.5991,-8.9148,-1.6316,-2.6196,2.2738,-1.6245,12.3488,4.3779,-0.3429,-6.5785,-5.7754,9.2715,-2.784,0.0177,-2.5535,-3.4378,3.7655,-5.2943,1.737,-6.8902,-8.5346,4.4368,-7.2153,-0.8115,2.6859,-1.3056,-5.2564,0.7324,-6.5867,-1.693999,-3.5265,1.5838,-4.9708,-5.1028,-6.8784,-0.667199,-5.5311,3.6246,-10.0197,7.383501,5.9248,-4.701401,10.0603,1.3341,-2.7593,2.5202,0.3469,-0.6603,2.5798,1.1321,-1.1454,-3.0049,-0.7844,-0.2968,-1.552299,-2.0431,1.243,-2.359,-2.6494,-2.9732,3.6771,0.9803,-1.1775,-3.2282,-0.5484,-2.1968,-0.7949,-1.242001,3.6955,0.281,-2.2242,-0.1568,2.2733,-1.0638,-2.9359,-1.2655,-0.9461,1.1159,1.3693,3.3451,0.6514,-7.8617,-1.3704,-3.2119,-2.1766,-0.2679,-0.6267,-3.1824,0.9955,1.388,0.2085,0.1015,0.3821,-0.6316,-0.2308,-2.1892,4.2998,0.4985,-0.6171,2.6805,-1.7343,3.5475,-0.8174,0.5679,-1.978,-3.8293,-3.6439,-7.1187,1.7567,-4.6823,-4.5564,-6.0934,-3.3371,-7.0602,-1.3263,-4.121,0.9208,6.1051,1.0502,1.4862,-1.2587,8.8773,1.716,-1.6584
Yacktman,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0579,-1.7451,-1.234,-3.2196,-3.7964,-7.1347,-2.851,-3.3508,-3.4262,-0.3702,-4.7436,-6.5871,-0.2675,-4.5156,3.5659,4.5663,-2.8481,-1.4699,-0.2193,0.7263,-0.0142,1.3157,1.5623,-0.1349,5.1196,-0.2391,3.2093,2.2928,-2.0542,4.2651,-1.4019,2.5121,-2.6995,1.9618,-2.19,-1.9094,-2.0309,2.9946,2.9357,-1.7521,0.8951,2.4792,0.1171,-1.0738,-1.6313,1.0336,2.603,3.4646,-5.32,0.6999,2.0255,-0.4274,-0.36,1.7606,0.7929,1.1126,-1.1065,-1.3672,-3.021,-0.1813,-2.8101,-1.8288,-2.7087,0.2895,-1.9607,-1.4649,4.0356,-2.5184,-0.8912,1.4801,-1.131,4.1672,-0.1325,-2.5783,6.7244,-0.0634,-0.0253,2.1836,0.3619,-2.5853,-5.4961,2.9227,-5.2744,0.0663,-0.1595,-5.4608,-4.9518,-1.3974,3.1807,-4.4062,-13.6634,5.7191,-4.2131,4.7984,2.8294,-4.6638,1.941,0.8838,8.785,2.7158,-8.0362,-0.5153,1.1359,-1.6568,-2.0749,1.3129,-4.4068,5.8998,0.7179,3.360701,-0.0067,3.7521,-3.0643,-0.7001,1.083,-4.5992,-1.8178,5.3156,-1.3955,9.496,9.527,-2.585001,7.4458,-2.279999,2.8746,1.6804,-0.6582,-1.9226,1.191299,-2.578,-0.7537,-6.9939,0.9564,1.0771,-4.4502,-0.3346,3.1713,-2.2764,-0.3799,-4.0649,4.6466,-1.3389,-2.8991,0.8478,0.3622,-4.8171,0.051,-3.8079,2.522,1.9778,-1.587,1.794,4.6939,-4.5658,-5.0129,-4.369,1.7743,-0.8177,0.5262,-2.571,1.5064,-5.2018,0.2052,-4.0514,0.5185,3.621,-1.7508,1.6494,0.6782,1.6772,-3.3665,-1.5811,0.7446,0.212,-1.574,-0.246,3.0868,-2.0821,0.2912,4.7144,-0.985,2.3841,1.1168,4.974,1.2437,-0.228,2.335,-1.3486,-0.6283,-4.1144,0.1008,-2.9767,-0.5443,2.7489,5.1506,5.1012,-3.7597,3.6443,5.1039,4.302701,6.641001,7.2528,0.9,-3.5907
