,ID,Description,Excess Return 08/02/82 - 08/31/82,Excess Return 09/01/82 - 09/30/82,Excess Return 10/01/82 - 10/29/82,Excess Return 11/01/82 - 11/30/82,Excess Return 12/01/82 - 12/31/82,Excess Return 01/03/83 - 01/31/83,Excess Return 02/01/83 - 02/28/83,Excess Return 03/01/83 - 03/31/83,Excess Return 04/04/83 - 04/29/83,Excess Return 05/02/83 - 05/31/83,Excess Return 06/01/83 - 06/30/83,Excess Return 07/01/83 - 07/29/83,Excess Return 08/01/83 - 08/31/83,Excess Return 09/01/83 - 09/30/83,Excess Return 10/03/83 - 10/31/83,Excess Return 11/01/83 - 11/30/83,Excess Return 12/01/83 - 12/30/83,Excess Return 01/03/84 - 01/31/84,Excess Return 02/01/84 - 02/29/84,Excess Return 03/01/84 - 03/30/84,Excess Return 04/02/84 - 04/30/84,Excess Return 05/01/84 - 05/31/84,Excess Return 06/01/84 - 06/29/84,Excess Return 07/02/84 - 07/31/84,Excess Return 08/01/84 - 08/31/84,Excess Return 09/04/84 - 09/28/84,Excess Return 10/01/84 - 10/31/84,Excess Return 11/01/84 - 11/30/84,Excess Return 12/03/84 - 12/31/84,Excess Return 01/02/85 - 01/31/85,Excess Return 02/01/85 - 02/28/85,Excess Return 03/01/85 - 03/29/85,Excess Return 04/01/85 - 04/30/85,Excess Return 05/01/85 - 05/31/85,Excess Return 06/03/85 - 06/28/85,Excess Return 07/01/85 - 07/31/85,Excess Return 08/01/85 - 08/30/85,Excess Return 09/03/85 - 09/30/85,Excess Return 10/01/85 - 10/31/85,Excess Return 11/01/85 - 11/29/85,Excess Return 12/02/85 - 12/31/85,Excess Return 01/02/86 - 01/31/86,Excess Return 02/03/86 - 02/28/86,Excess Return 03/03/86 - 03/31/86,Excess Return 04/01/86 - 04/30/86,Excess Return 05/01/86 - 05/30/86,Excess Return 06/02/86 - 06/30/86,Excess Return 07/01/86 - 07/31/86,Excess Return 08/01/86 - 08/29/86,Excess Return 09/02/86 - 09/30/86,Excess Return 10/01/86 - 10/31/86,Excess Return 11/03/86 - 11/28/86,Excess Return 12/01/86 - 12/31/86,Excess Return 01/02/87 - 01/30/87,Excess Return 02/02/87 - 02/27/87,Excess Return 03/02/87 - 03/31/87,Excess Return 04/01/87 - 04/30/87,Excess Return 05/01/87 - 05/29/87,Excess Return 06/01/87 - 06/30/87,Excess Return 07/01/87 - 07/31/87,Excess Return 08/03/87 - 08/31/87,Excess Return 09/01/87 - 09/30/87,Excess Return 10/01/87 - 10/30/87,Excess Return 11/02/87 - 11/30/87,Excess Return 12/01/87 - 12/31/87,Excess Return 01/04/88 - 01/29/88,Excess Return 02/01/88 - 02/29/88,Excess Return 03/01/88 - 03/31/88,Excess Return 04/04/88 - 04/29/88,Excess Return 05/02/88 - 05/31/88,Excess Return 06/01/88 - 06/30/88,Excess Return 07/01/88 - 07/29/88,Excess Return 08/01/88 - 08/31/88,Excess Return 09/01/88 - 09/30/88,Excess Return 10/03/88 - 10/31/88,Excess Return 11/01/88 - 11/30/88,Excess Return 12/01/88 - 12/30/88,Excess Return 01/03/89 - 01/31/89,Excess Return 02/01/89 - 02/28/89,Excess Return 03/01/89 - 03/31/89,Excess Return 04/03/89 - 04/28/89,Excess Return 05/01/89 - 05/31/89,Excess Return 06/01/89 - 06/30/89,Excess Return 07/03/89 - 07/31/89,Excess Return 08/01/89 - 08/31/89,Excess Return 09/01/89 - 09/29/89,Excess Return 10/02/89 - 10/31/89,Excess Return 11/01/89 - 11/30/89,Excess Return 12/01/89 - 12/29/89,Excess Return 01/02/90 - 01/31/90,Excess Return 02/01/90 - 02/28/90,Excess Return 03/01/90 - 03/30/90,Excess Return 04/02/90 - 04/30/90,Excess Return 05/01/90 - 05/31/90,Excess Return 06/01/90 - 06/29/90,Excess Return 07/02/90 - 07/31/90,Excess Return 08/01/90 - 08/31/90,Excess Return 09/04/90 - 09/28/90,Excess Return 10/01/90 - 10/31/90,Excess Return 11/01/90 - 11/30/90,Excess Return 12/03/90 - 12/31/90,Excess Return 01/02/91 - 01/31/91,Excess Return 02/01/91 - 02/28/91,Excess Return 03/01/91 - 03/28/91,Excess Return 04/01/91 - 04/30/91,Excess Return 05/01/91 - 05/31/91,Excess Return 06/03/91 - 06/28/91,Excess Return 07/01/91 - 07/31/91,Excess Return 08/01/91 - 08/30/91,Excess Return 09/03/91 - 09/30/91,Excess Return 10/01/91 - 10/31/91,Excess Return 11/01/91 - 11/29/91,Excess Return 12/02/91 - 12/31/91,Excess Return 01/02/92 - 01/31/92,Excess Return 02/03/92 - 02/28/92,Excess Return 03/02/92 - 03/31/92,Excess Return 04/01/92 - 04/30/92,Excess Return 05/01/92 - 05/29/92,Excess Return 06/01/92 - 06/30/92,Excess Return 07/01/92 - 07/31/92,Excess Return 08/03/92 - 08/31/92,Excess Return 09/01/92 - 09/30/92,Excess Return 10/01/92 - 10/30/92,Excess Return 11/02/92 - 11/30/92,Excess Return 12/01/92 - 12/31/92,Excess Return 01/04/93 - 01/29/93,Excess Return 02/01/93 - 02/26/93,Excess Return 03/01/93 - 03/31/93,Excess Return 04/01/93 - 04/30/93,Excess Return 05/03/93 - 05/28/93,Excess Return 06/01/93 - 06/30/93,Excess Return 07/01/93 - 07/30/93,Excess Return 08/02/93 - 08/31/93,Excess Return 09/01/93 - 09/30/93,Excess Return 10/01/93 - 10/29/93,Excess Return 11/01/93 - 11/30/93,Excess Return 12/01/93 - 12/31/93,Excess Return 01/03/94 - 01/31/94,Excess Return 02/01/94 - 02/28/94,Excess Return 03/01/94 - 03/31/94,Excess Return 04/04/94 - 04/29/94,Excess Return 05/02/94 - 05/31/94,Excess Return 06/01/94 - 06/30/94,Excess Return 07/01/94 - 07/29/94,Excess Return 08/01/94 - 08/31/94,Excess Return 09/01/94 - 09/30/94,Excess Return 10/03/94 - 10/31/94,Excess Return 11/01/94 - 11/30/94,Excess Return 12/01/94 - 12/30/94,Excess Return 01/03/95 - 01/31/95,Excess Return 02/01/95 - 02/28/95,Excess Return 03/01/95 - 03/31/95,Excess Return 04/03/95 - 04/28/95,Excess Return 05/01/95 - 05/31/95,Excess Return 06/01/95 - 06/30/95,Excess Return 07/03/95 - 07/31/95,Excess Return 08/01/95 - 08/31/95,Excess Return 09/01/95 - 09/29/95,Excess Return 10/02/95 - 10/31/95,Excess Return 11/01/95 - 11/30/95,Excess Return 12/01/95 - 12/29/95,Excess Return 01/02/96 - 01/31/96,Excess Return 02/01/96 - 02/29/96,Excess Return 03/01/96 - 03/29/96,Excess Return 04/01/96 - 04/30/96,Excess Return 05/01/96 - 05/31/96,Excess Return 06/03/96 - 06/28/96,Excess Return 07/01/96 - 07/31/96,Excess Return 08/01/96 - 08/30/96,Excess Return 09/03/96 - 09/30/96,Excess Return 10/01/96 - 10/31/96,Excess Return 11/01/96 - 11/29/96,Excess Return 12/02/96 - 12/31/96,Excess Return 01/02/97 - 01/31/97,Excess Return 02/03/97 - 02/28/97,Excess Return 03/03/97 - 03/31/97,Excess Return 04/01/97 - 04/30/97,Excess Return 05/01/97 - 05/30/97,Excess Return 06/02/97 - 06/30/97,Excess Return 07/01/97 - 07/31/97,Excess Return 08/01/97 - 08/29/97,Excess Return 09/02/97 - 09/30/97,Excess Return 10/01/97 - 10/31/97,Excess Return 11/03/97 - 11/28/97,Excess Return 12/01/97 - 12/31/97,Excess Return 01/02/98 - 01/30/98,Excess Return 02/02/98 - 02/27/98,Excess Return 03/02/98 - 03/31/98,Excess Return 04/01/98 - 04/30/98,Excess Return 05/01/98 - 05/29/98,Excess Return 06/01/98 - 06/30/98,Excess Return 07/01/98 - 07/31/98,Excess Return 08/03/98 - 08/31/98,Excess Return 09/01/98 - 09/30/98,Excess Return 10/01/98 - 10/30/98,Excess Return 11/02/98 - 11/30/98,Excess Return 12/01/98 - 12/31/98,Excess Return 01/04/99 - 01/29/99,Excess Return 02/01/99 - 02/26/99,Excess Return 03/01/99 - 03/31/99,Excess Return 04/01/99 - 04/30/99,Excess Return 05/03/99 - 05/28/99,Excess Return 06/01/99 - 06/30/99,Excess Return 07/01/99 - 07/30/99,Excess Return 08/02/99 - 08/31/99,Excess Return 09/01/99 - 09/30/99,Excess Return 10/01/99 - 10/29/99,Excess Return 11/01/99 - 11/30/99,Excess Return 12/01/99 - 12/31/99,Excess Return 01/03/00 - 01/31/00,Excess Return 02/01/00 - 02/29/00,Excess Return 03/01/00 - 03/31/00,Excess Return 04/03/00 - 04/28/00,Excess Return 05/01/00 - 05/31/00,Excess Return 06/01/00 - 06/30/00,Excess Return 07/03/00 - 07/31/00,Excess Return 08/01/00 - 08/31/00,Excess Return 09/01/00 - 09/29/00,Excess Return 10/02/00 - 10/31/00,Excess Return 11/01/00 - 11/30/00,Excess Return 12/01/00 - 12/29/00,Excess Return 01/02/01 - 01/31/01,Excess Return 02/01/01 - 02/28/01,Excess Return 03/01/01 - 03/30/01,Excess Return 04/02/01 - 04/30/01,Excess Return 05/01/01 - 05/31/01,Excess Return 06/01/01 - 06/29/01,Excess Return 07/02/01 - 07/31/01,Excess Return 08/01/01 - 08/31/01,Excess Return 09/04/01 - 09/28/01,Excess Return 10/01/01 - 10/31/01,Excess Return 11/01/01 - 11/30/01,Excess Return 12/03/01 - 12/31/01,Excess Return 01/02/02 - 01/31/02,Excess Return 02/01/02 - 02/28/02,Excess Return 03/01/02 - 03/28/02,Excess Return 04/01/02 - 04/30/02,Excess Return 05/01/02 - 05/31/02,Excess Return 06/03/02 - 06/28/02,Excess Return 07/01/02 - 07/31/02,Excess Return 08/01/02 - 08/30/02,Excess Return 09/03/02 - 09/30/02,Excess Return 10/01/02 - 10/31/02,Excess Return 11/01/02 - 11/29/02,Excess Return 12/02/02 - 12/31/02,Excess Return 01/02/03 - 01/31/03,Excess Return 02/03/03 - 02/28/03,Excess Return 03/03/03 - 03/31/03,Excess Return 04/01/03 - 04/30/03,Excess Return 05/01/03 - 05/30/03,Excess Return 06/02/03 - 06/30/03,Excess Return 07/01/03 - 07/31/03,Excess Return 08/01/03 - 08/29/03,Excess Return 09/02/03 - 09/30/03,Excess Return 10/01/03 - 10/31/03,Excess Return 11/03/03 - 11/28/03,Excess Return 12/01/03 - 12/31/03,Excess Return 01/02/04 - 01/30/04,Excess Return 02/02/04 - 02/27/04,Excess Return 03/01/04 - 03/31/04,Excess Return 04/01/04 - 04/30/04,Excess Return 05/03/04 - 05/28/04,Excess Return 06/01/04 - 06/30/04,Excess Return 07/01/04 - 07/30/04,Excess Return 08/02/04 - 08/31/04,Excess Return 09/01/04 - 09/30/04,Excess Return 10/01/04 - 10/29/04,Excess Return 11/01/04 - 11/30/04,Excess Return 12/01/04 - 12/31/04,Excess Return 01/03/05 - 01/31/05,Excess Return 02/01/05 - 02/28/05,Excess Return 03/01/05 - 03/31/05,Excess Return 04/01/05 - 04/29/05,Excess Return 05/02/05 - 05/31/05,Excess Return 06/01/05 - 06/30/05,Excess Return 07/01/05 - 07/29/05,Excess Return 08/01/05 - 08/31/05,Excess Return 09/01/05 - 09/30/05,Excess Return 10/03/05 - 10/31/05,Excess Return 11/01/05 - 11/30/05,Excess Return 12/01/05 - 12/30/05,Excess Return 01/03/06 - 01/31/06,Excess Return 02/01/06 - 02/28/06,Excess Return 03/01/06 - 03/31/06,Excess Return 04/03/06 - 04/28/06,Excess Return 05/01/06 - 05/31/06,Excess Return 06/01/06 - 06/30/06,Excess Return 07/03/06 - 07/31/06,Excess Return 08/01/06 - 08/31/06,Excess Return 09/01/06 - 09/29/06,Excess Return 10/02/06 - 10/31/06,Excess Return 11/01/06 - 11/30/06,Excess Return 12/01/06 - 12/29/06,Excess Return 01/03/07 - 01/31/07,Excess Return 02/01/07 - 02/28/07,Excess Return 03/01/07 - 03/30/07,Excess Return 04/02/07 - 04/30/07,Excess Return 05/01/07 - 05/31/07,Excess Return 06/01/07 - 06/29/07,Excess Return 07/02/07 - 07/31/07,Excess Return 08/01/07 - 08/31/07,Excess Return 09/04/07 - 09/28/07,Excess Return 10/01/07 - 10/31/07,Excess Return 11/01/07 - 11/30/07,Excess Return 12/03/07 - 12/31/07,Excess Return 01/02/08 - 01/31/08,Excess Return 02/01/08 - 02/29/08,Excess Return 03/03/08 - 03/31/08,Excess Return 04/01/08 - 04/30/08,Excess Return 05/01/08 - 05/30/08,Excess Return 06/02/08 - 06/30/08,Excess Return 07/01/08 - 07/31/08,Excess Return 08/01/08 - 08/29/08,Excess Return 09/02/08 - 09/30/08,Excess Return 10/01/08 - 10/31/08,Excess Return 11/03/08 - 11/28/08,Excess Return 12/01/08 - 12/31/08,Excess Return 01/02/09 - 01/30/09,Excess Return 02/02/09 - 02/27/09,Excess Return 03/02/09 - 03/31/09,Excess Return 04/01/09 - 04/30/09,Excess Return 05/01/09 - 05/29/09,Excess Return 06/01/09 - 06/30/09,Excess Return 07/01/09 - 07/31/09
1,FOUSA02TUA,First Eagle US Value A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    3.442400,   -0.689300,   -1.871200,    0.445800,   -0.696000,   -1.560400,   -3.602200,    4.048600,   -3.674900,    9.635800,    1.729900,    1.340600,    0.132200,   -3.055700,    3.275200,    0.619000,    1.799000,    0.122600,   -4.008200,   -4.262400,    1.375800,   -3.369700,   -0.783400,    0.252600,   -3.888100,   -1.084900,    0.537500,   -3.225700,    0.530900,   -0.856200,    2.701400,   -0.439500,   -2.108500,    2.895800,   -0.303800,   -1.713400,    0.420400,   -3.927500,   -1.035600,    3.658200,   -0.020800,    1.783400,    2.950000,   -4.546500,   -3.310100,   -3.078300,    2.697700,    1.166000,    1.256600,   -2.651800,    1.710700,   -6.105700,   -0.787400,   -3.175700,    0.716900,    3.945900,   -0.772600,    0.868300,   -2.207300,    0.446100,   -1.902900,   -1.060300,   -0.056600,    0.098500,    0.850900,   -1.585500,    1.495700,   -1.690000,    2.451900,    6.091300,   -1.011600,    1.390200,    1.442600,    6.316200,    2.357500,    0.687400,    3.524100,   -1.248900,    0.379800,   -0.556400,    5.178800,   -7.721200,   -3.453500,    0.261600,    5.548099,    6.169100,   -3.479300,   10.301400,    8.790600,   -4.506900,   -6.268800,    1.420600,   -0.530300,   -6.447800
2,FOUSA009KE,JHancock Classic Value A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    0.775600,   -2.013300,    0.369200,    2.748100,    1.851700,   -3.722500,    3.897000,    0.511700,   -1.636600,    1.715700,   -1.700700,   -2.639100,    3.131200,   -1.587400,   -2.538100,   -0.172800,   -1.749300,   -2.861200,    2.440000,    0.694500,    0.496300,    0.629500,    2.151000,   -3.589800,   -2.160200,   -0.012700,   -2.840000,    1.174000,    3.712600,   -1.515700,   -3.854500,    0.769600,    1.221600,    7.768200,    4.703200,    0.143900,   -3.522400,    0.201400,   -5.238800,    0.566200,    1.483500,   -0.813700,   -3.050400,  -13.452200,   14.448700,    3.526600,    5.137100,   -7.735100,   -1.065100,    1.752700,    4.178300,    4.692800,    4.485400,   -1.252000,   -0.179100,    2.783100,   -1.161500,   -0.685400,   -0.896100,   -3.839400,    3.772400,    1.913700,    0.890400,   -2.083500,    0.567599,   -2.202200,    0.171500,   -0.904200,   -0.794600,   -2.687000,    3.031900,   -5.350900,    3.925800,    3.596600,   -4.495500,    6.472700,    4.590701,   -1.185700,    0.891400,    0.722800,   -2.249300,   -0.637601,   -0.391300,   -0.870900,   -1.952900,   -1.646700,    0.093700,   -1.375200,   -2.526900,    2.718300,   -0.892100,   -0.493300,   -1.525200,    3.367100,    0.050300,   -2.547800,    1.243500,   -0.547300,   -2.612000,   -1.316600,   -3.961100,    1.915500,    0.695800,   -0.190400,    1.573700,    3.784900,   -1.831300,   -2.957100,   -3.949000,    2.295800,    0.666100,    1.598000,   -0.577900,    2.177300,   -5.671900,    0.995700,   -3.981800,    0.936500,    1.838400,   -2.917200,    3.024800,   -0.237500,    3.346900,   -2.412700,   -2.780100,    1.606700,   -0.233000,   -0.556400,   -1.570300,    4.943400,   -0.775900,    0.591700,    1.329300,   -1.160100,   -0.706000,   -2.729600,   -1.144000,   -2.848100,    2.385100,   -4.296000,   -2.640700,    1.317500,   -4.117200,   -5.623499,   -3.230600,   -3.822900,   -6.660400,    0.419399,    0.514700,   -1.638200,    2.861600,   -1.649100,    5.013900,    3.473300,    4.928000,   -0.114700,   -1.805900
3,FOUSA00DEU,Legg Mason Value C,    3.016200,   -2.257100,   -0.032600,   -0.105900,   -0.875200,   -1.164500,   -0.402000,    0.616000,   -0.289300,   -2.904500,   -1.297500,   -0.956900,    3.503300,    0.659900,    2.575300,    0.025000,    2.219500,   -1.868200,   -0.579600,    0.960200,    1.872500,   -0.609300,    1.351900,    2.143500,   -0.049900,   -0.171000,    2.717300,    2.304000,    1.837100,   -2.444100,   -1.652100,    0.442000,    1.743100,    2.160300,    0.381700,   -1.231300,    0.539300,    1.613500,    0.533900,   -0.134300,   -1.586100,    1.271100,    1.095200,   -0.659100,   -2.330300,    0.586000,    0.760400,    0.419100,    2.955300,   -1.525400,   -0.457200,   -0.471700,    0.515200,   -2.216800,   -1.572500,   -1.240800,    0.239100,    0.152000,    1.822800,   -0.783900,    0.316500,   -0.612800,    4.612200,   -3.545300,    0.954600,    2.023600,   -2.709600,   -4.704700,   -0.803000,    1.943600,   -0.367000,   -0.589100,   -1.042200,    1.513600,    2.066700,    0.675000,   -1.056500,    0.751400,   -2.166600,    1.345900,   -0.415100,   -0.443000,    0.694800,    2.707300,    1.961500,    1.456300,    1.399200,    0.728300,   -1.204600,   -0.263900,    0.166600,   -1.519800,    0.064900,    1.700500,    0.307900,    2.534300,    1.252600,   -1.754400,    5.440500,   -2.283200,    0.022800,   -3.619900,   -4.966700,   -5.384500,    0.428800,   -0.721800,    0.539100,    3.438800,    0.570100,    1.384700,   -1.672700,   -0.830000,    5.578800,   -9.130600,   -2.451900,   -0.170700,    3.042100,   -1.463900,    0.318700,   -0.308300,   -0.901100,   -0.421200,   -1.387800,   -0.822100,   -1.601100,   -3.567800,   -2.736200,    0.116000,   -1.639700,   -1.501300,    0.789100,   -1.829000,   -0.605000,   -2.397000,   -0.580500,    1.186300,    1.966100,    2.426300,   -2.107000,   -0.750400,    0.476500,    2.015700,   -2.122000,    2.167400,    2.313100,   -2.922100,    3.444800,   -0.053000,   -1.455100,    1.429400,   -0.061000,    0.968800,    1.578200,    2.825200,    0.890100,    1.019400,   -1.209900,    2.474800,    0.948300,    0.725700,   -0.043000,    4.099900,   -0.657500,   -0.747100,   -1.579900,    0.794400,    0.346600,    3.707100,    0.018400,    3.263600,    4.035700,    4.933200,   -4.539000,    6.767800,    0.002800,   -2.752100,    5.507300,   -1.579200,   -1.330600,    9.229799,   -4.469200,   -0.897600,   -2.353700,   -0.277100,   -2.680300,    4.757200,    4.409300,   -0.990000,    2.221000,    3.598200,    2.958300,   10.056900,   -3.449900,    1.206400,    8.917900,    4.708500,    9.904401,   11.331100,    4.698200,   12.022100,   -5.599100,   -8.914800,   -1.631600,   -2.619600,    2.273800,   -1.624500,   12.348800,    4.377900,   -0.342900,   -6.578500,   -5.775400,    9.271500,   -2.784000,    0.017700,   -2.553500,   -3.437800,    3.765500,   -5.294300,    1.737000,   -6.890200,   -8.534600,    4.436800,   -7.215300,   -0.811500,    2.685900,   -1.305600,   -5.256400,    0.732400,   -6.586700,   -1.693999,   -3.526500,    1.583800,   -4.970800,   -5.102800,   -6.878400,   -0.667199,   -5.531100,    3.624600,  -10.019700,    7.383501,    5.924800,   -4.701401,   10.060300,    1.334100,   -2.759300,    2.520200,    0.346900,   -0.660300,    2.579800,    1.132100,   -1.145400,   -3.004900,   -0.784400,   -0.296800,   -1.552299,   -2.043100,    1.243000,   -2.359000,   -2.649400,   -2.973200,    3.677100,    0.980300,   -1.177500,   -3.228200,   -0.548400,   -2.196800,   -0.794900,   -1.242001,    3.695500,    0.281000,   -2.224200,   -0.156800,    2.273300,   -1.063800,   -2.935900,   -1.265500,   -0.946100,    1.115900,    1.369300,    3.345100,    0.651400,   -7.861700,   -1.370400,   -3.211900,   -2.176600,   -0.267900,   -0.626700,   -3.182400,    0.995500,    1.388000,    0.208500,    0.101500,    0.382100,   -0.631600,   -0.230800,   -2.189200,    4.299800,    0.498500,   -0.617100,    2.680500,   -1.734300,    3.547500,   -0.817400,    0.567900,   -1.978000,   -3.829300,   -3.643900,   -7.118700,    1.756700,   -4.682300,   -4.556400,   -6.093400,   -3.337100,   -7.060200,   -1.326300,   -4.121000,    0.920800,    6.105100,    1.050200,    1.486200,   -1.258700,    8.877300,    1.716000,   -1.658400
4,FOUSA00FOR,Yacktman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    1.057900,   -1.745100,   -1.234000,   -3.219600,   -3.796400,   -7.134700,   -2.851000,   -3.350800,   -3.426200,   -0.370200,   -4.743600,   -6.587100,   -0.267500,   -4.515600,    3.565900,    4.566300,   -2.848100,   -1.469900,   -0.219300,    0.726300,   -0.014200,    1.315700,    1.562300,   -0.134900,    5.119600,   -0.239100,    3.209300,    2.292800,   -2.054200,    4.265100,   -1.401900,    2.512100,   -2.699500,    1.961800,   -2.190000,   -1.909400,   -2.030900,    2.994600,    2.935700,   -1.752100,    0.895100,    2.479200,    0.117100,   -1.073800,   -1.631300,    1.033600,    2.603000,    3.464600,   -5.320000,    0.699900,    2.025500,   -0.427400,   -0.360000,    1.760600,    0.792900,    1.112600,   -1.106500,   -1.367200,   -3.021000,   -0.181300,   -2.810100,   -1.828800,   -2.708700,    0.289500,   -1.960700,   -1.464900,    4.035600,   -2.518400,   -0.891200,    1.480100,   -1.131000,    4.167200,   -0.132500,   -2.578300,    6.724400,   -0.063400,   -0.025300,    2.183600,    0.361900,   -2.585300,   -5.496100,    2.922700,   -5.274400,    0.066300,   -0.159500,   -5.460800,   -4.951800,   -1.397400,    3.180700,   -4.406200,  -13.663400,    5.719100,   -4.213100,    4.798400,    2.829400,   -4.663800,    1.941000,    0.883800,    8.785000,    2.715800,   -8.036200,   -0.515300,    1.135900,   -1.656800,   -2.074900,    1.312900,   -4.406800,    5.899800,    0.717900,    3.360701,   -0.006700,    3.752100,   -3.064300,   -0.700100,    1.083000,   -4.599200,   -1.817800,    5.315600,   -1.395500,    9.496000,    9.527000,   -2.585001,    7.445800,   -2.279999,    2.874600,    1.680400,   -0.658200,   -1.922600,    1.191299,   -2.578000,   -0.753700,   -6.993900,    0.956400,    1.077100,   -4.450200,   -0.334600,    3.171300,   -2.276400,   -0.379900,   -4.064900,    4.646600,   -1.338900,   -2.899100,    0.847800,    0.362200,   -4.817100,    0.051000,   -3.807900,    2.522000,    1.977800,   -1.587000,    1.794000,    4.693900,   -4.565800,   -5.012900,   -4.369000,    1.774300,   -0.817700,    0.526200,   -2.571000,    1.506400,   -5.201800,    0.205200,   -4.051400,    0.518500,    3.621000,   -1.750800,    1.649400,    0.678200,    1.677200,   -3.366500,   -1.581100,    0.744600,    0.212000,   -1.574000,   -0.246000,    3.086800,   -2.082100,    0.291200,    4.714400,   -0.985000,    2.384100,    1.116800,    4.974000,    1.243700,   -0.228000,    2.335000,   -1.348600,   -0.628300,   -4.114400,    0.100800,   -2.976700,   -0.544300,    2.748900,    5.150600,    5.101200,   -3.759700,    3.644300,    5.103900,    4.302701,    6.641001,    7.252800,    0.900000,   -3.590700
