"Description",01/31/99,02/28/99,03/31/99,04/30/99,05/31/99,06/30/99,07/31/99,08/31/99,09/30/99,10/31/99,11/30/99,12/31/99,01/31/00,02/29/00,03/31/00,04/30/00,05/31/00,06/30/00,07/31/00,08/31/00,09/30/00,10/31/00,11/30/00,12/31/00,01/31/01,02/28/01,03/31/01,04/30/01,05/31/01,06/30/01,07/31/01,08/31/01,09/30/01,10/31/01,11/30/01,12/31/01,01/31/02,02/28/02,03/31/02,04/30/02,05/31/02,06/30/02,07/31/02,08/31/02,09/30/02,10/31/02,11/30/02,12/31/02,01/31/03,02/28/03,03/31/03,04/30/03,05/31/03,06/30/03,07/31/03,08/31/03,09/30/03,10/31/03,11/30/03,12/31/03,01/31/04,02/29/04,03/31/04,04/30/04,05/31/04,06/30/04,07/31/04,08/31/04,09/30/04,10/31/04,11/30/04,12/31/04,01/31/05,02/28/05,03/31/05,04/30/05,05/31/05,06/30/05,07/31/05,08/31/05,09/30/05,10/31/05,11/30/05,12/31/05,01/31/06,02/28/06,03/31/06,04/30/06,05/31/06,06/30/06,07/31/06,08/31/06,09/30/06,10/31/06,11/30/06,12/31/06,01/31/07,02/28/07,03/31/07,04/30/07,05/31/07,06/30/07,07/31/07,08/31/07,09/30/07,10/31/07,11/30/07,12/31/07,01/31/08,02/29/08,03/31/08,04/30/08,05/31/08,06/30/08,07/31/08,08/31/08,09/30/08,10/31/08,11/30/08,12/31/08,01/31/09,02/28/09,03/31/09,04/30/09,05/31/09,06/30/09
"Aberdeen China Opportunities A LW",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.62,-1.57,0.14,-0.26,-0.55,-3.17,-2.95,-3.48,2.51,2.3,-3.85,-2.05,-4.99,-0.17,-5.95,-2.44,-1.85,-1.55,1.1,6.57,6.82,-3.58,4.85,-1.34,-1.65,-0.8,2.95,1.89,3.22,4.87,2.76,2.4,-0.27,-1.16,4.93,6.85,4.31,4.95,6.86,5.66,-3.87,-5.12,-7.08,-2.36,-5.52,2.65,-1.31,-1.29,1.02,0.5,-2.87,2.84,6.83,-1.17,0.37,0.39,-4.91,-2.51,9.34,1.4
"Aberdeen China Opportunities B",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.53,-1.56,0.03,-0.26,-0.63,-3.25,-2.95,-3.54,2.49,2.21,-3.93,-2.08,-5.05,-0.17,-6.1,-2.49,-1.9,-1.62,1.01,6.54,6.8,-3.62,4.73,-1.35,-1.72,-0.86,2.85,1.82,3.2,4.76,2.67,2.37,-0.34,-1.22,4.91,6.77,4.24,4.87,6.87,5.59,-3.96,-5.15,-7.15,-2.42,-5.59,2.6,-1.39,-1.34,1.01,0.39,-2.87,2.77,6.71,-1.22,0.31,0.35,-5.01,-2.55,9.23,1.36
"Aberdeen China Opportunities C",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.52,-1.56,-0.05,-0.26,-0.63,-3.16,-3.04,-3.54,2.49,2.21,-3.93,-2.11,-5.06,-0.16,-6.02,-2.56,-1.9,-1.62,1,6.54,6.8,-3.62,4.74,-1.4,-1.72,-0.86,2.92,1.81,3.14,4.81,2.67,2.31,-0.28,-1.22,4.85,6.77,4.27,4.87,6.83,5.59,-3.93,-5.19,-7.13,-2.42,-5.59,2.61,-1.39,-1.35,1.01,0.38,-2.88,2.76,6.71,-1.22,0.3,0.34,-5,-2.54,9.25,1.32
"Aberdeen China Opportunities I/S",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.62,-1.47,0.07,-0.17,-0.56,-3.12,-2.95,-3.47,2.51,2.3,-3.84,-2.09,-4.98,-0.08,-5.97,-2.44,-1.84,-1.47,1.11,6.57,6.89,-3.51,4.78,-1.29,-1.65,-0.74,2.95,1.88,3.28,4.85,2.81,2.4,-0.28,-1.12,4.96,6.86,4.39,4.94,6.91,5.69,-3.85,-5.11,-7.04,-2.37,-5.5,2.68,-1.31,-1.26,1.03,0.52,-2.85,2.86,6.82,-1.18,0.48,0.41,-5.03,-2.43,9.37,1.42
"Aberdeen China Opportunities Inst",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.62,-1.47,0.07,-0.17,-0.56,-3.11,-2.95,-3.39,2.52,2.3,-3.85,-1.98,-4.99,-0.08,-5.98,-2.42,-1.86,-1.48,1.08,6.56,6.88,-3.52,4.8,-1.22,-1.65,-0.81,3.01,1.87,3.31,4.83,2.81,2.39,-0.29,-1.12,4.99,6.83,4.36,4.97,6.89,5.68,-3.85,-5.13,-7.03,-2.34,-5.51,2.65,-1.26,-1.27,1.03,0.49,-2.8,2.87,6.73,-1.1,0.4,0.42,-4.95,-2.48,9.38,1.42
"Aberdeen China Opportunities R",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.52,-1.56,0.11,-0.26,-0.64,-3.17,-3.03,-3.46,2.5,2.21,-3.84,-2.04,-4.97,-0.17,-5.95,-2.46,-1.92,-1.45,0.95,6.59,6.84,-3.57,4.76,-1.35,-1.65,-0.8,2.9,1.78,3.15,4.87,2.71,2.35,-0.31,-1.2,4.94,6.81,4.33,4.92,6.85,5.64,-3.91,-5.13,-7.08,-2.37,-5.56,2.64,-1.35,-1.3,0.99,0.48,-2.84,2.81,6.72,-1.22,0.51,0.35,-5.04,-2.48,9.31,1.43
"Aberdeen Core Income A",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Income A LW",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Income C",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Income Instl",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Income Instl Svc",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Income R",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Plus Income A",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Plus Income A LW",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Plus Income C",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Plus Income Instl",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Plus Income Instl Svc",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Core Plus Income R",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Aberdeen Developing Markets A",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.35,3.78,0.12,-0.53,2.59,2.99,0.06,-0.57,-1.54,-0.39,0.02,-0.44,-0.25,-0.41,-0.96,1.16,0.95,-1.38,0.71,1.61,-1.45,0.53,1.58,-0.3,2.91,-0.36,0.49,0.09,1.41,-0.14,-0.39,-0.76,-0.69,-0.83,-0.04,-0.11,-0.23,-1.2,-1.36,-0.02,-0.19,-0.7,0.76,-0.02,0.01,0.6,0.31,-0.51,-0.62,-0.16,-1.22,2.58,-0.8,-0.1,0.21,-0.5,-1.6,-0.01,-0.48,-0.58,1.45,1.38,1.18,0.06,-1.41,0.74,1.39,1.88,0.03,-0.53,1.45,0.98,1.69,-0.96,-0.48,-1.02,-1.31,-0.2,1.09,1.08,1.51,-3.22,-0.92,-1.35,-1.61,-0.87,-0.37,-0.24,-2.11,-3.71,-0.54,2.15,3.14
"Aberdeen Developing Markets A LW",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.35,3.78,0.12,-0.53,2.59,2.99,0.06,-0.57,-1.54,-0.39,0.02,-0.44,-0.25,-0.41,-0.96,1.16,0.95,-1.38,0.71,1.61,-1.45,0.53,1.58,-0.3,2.91,-0.36,0.49,0.09,1.41,-0.14,-0.39,-0.76,-0.69,-0.83,-0.04,-0.11,-0.23,-1.2,-1.36,-0.02,-0.19,-0.7,0.76,-0.02,0.01,0.6,0.31,-0.51,-0.62,-0.16,-1.22,2.58,-0.8,-0.1,0.21,-0.5,-1.6,-0.01,-0.48,-0.58,1.45,1.38,1.18,0.06,-1.41,0.74,1.39,1.88,0.03,-0.53,1.45,0.98,1.69,-0.96,-0.48,-1.02,-1.31,-0.2,1.09,1.08,1.51,-3.22,-0.92,-1.35,-1.61,-0.87,-0.37,-0.24,-2.11,-3.71,-0.54,2.15,3.14
"Aberdeen Developing Markets B",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.41,3.71,0.03,-0.51,2.5,3.07,-0.06,-0.59,-1.63,-0.47,0.04,-0.57,-0.33,-0.47,-1.02,1.03,0.92,-1.3,0.7,1.47,-1.64,0.66,1.5,-0.51,2.93,-0.35,0.44,-0.02,1.27,-0.11,-0.42,-0.91,-0.7,-0.9,-0.13,-0.14,-0.35,-1.16,-1.43,-0.09,-0.19,-0.81,0.78,-0.08,-0.06,0.51,0.27,-0.6,-0.64,-0.26,-1.27,2.52,-0.89,-0.16,0.17,-0.55,-1.67,-0.03,-0.53,-0.66,1.42,1.28,1.16,0.02,-1.43,0.64,1.36,1.79,-0.01,-0.66,1.42,0.91,1.64,-1.03,-0.53,-1.09,-1.35,-0.24,1.02,1,1.51,-3.28,-0.96,-1.38,-1.66,-1.01,-0.43,-0.29,-2.21,-3.72,-0.64,2.1,3.13
"Aberdeen Developing Markets C",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.3,3.69,0.07,-0.54,2.57,2.95,-0.06,-0.56,-1.63,-0.49,0.02,-0.43,-0.41,-0.41,-1.09,1.02,0.94,-1.39,0.74,1.5,-1.56,0.56,1.51,-0.41,2.87,-0.36,0.43,-0.06,1.37,-0.13,-0.46,-0.79,-0.78,-0.86,-0.09,-0.22,-0.29,-1.19,-1.48,-0.1,-0.16,-0.85,0.81,-0.13,-0.04,0.55,0.25,-0.59,-0.67,-0.31,-1.2,2.5,-0.88,-0.17,0.17,-0.6,-1.63,-0.05,-0.5,-0.61,1.32,1.38,1.12,-0.02,-1.4,0.61,1.36,1.78,0,-0.65,1.43,0.92,1.61,-1.03,-0.52,-1.08,-1.37,-0.23,1.04,0.99,1.5,-3.29,-0.94,-1.42,-1.65,-0.93,-0.48,-0.25,-2.15,-3.71,-0.66,2.06,3.13
"Aberdeen Developing Markets I/S",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.31,3.71,0.23,-0.41,2.57,3.06,0.05,-0.56,-1.48,-0.45,0.15,-0.49,-0.14,-0.47,-0.92,1.01,1.1,-1.34,0.77,1.67,-1.49,0.59,1.61,-0.31,3,-0.37,0.6,0.05,1.42,-0.07,-0.37,-0.81,-0.6,-0.8,0,-0.12,-0.25,-1.05,-1.41,0.05,-0.16,-0.66,0.78,0.01,0.03,0.64,0.36,-0.5,-0.58,-0.21,-1.16,2.61,-0.79,-0.06,0.2,-0.47,-1.53,0.02,-0.46,-0.55,1.46,1.45,1.23,0.08,-1.37,0.76,1.43,1.89,0.05,-0.49,1.47,1,1.73,-0.96,-0.44,-0.99,-1.31,-0.15,1.11,1.09,1.58,-3.19,-0.91,-1.33,-1.55,-0.96,-0.22,-0.27,-2.14,-3.61,-0.53,2.21,3.2
"Aberdeen Developing Markets Inst",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.8,0,-0.12,-0.25,-1.05,-1.33,-0.02,-0.16,-0.66,0.78,0.01,0.03,0.64,0.36,-0.5,-0.58,-0.21,-1.16,2.61,-0.79,-0.06,0.2,-0.47,-1.53,0.02,-0.46,-0.55,1.52,1.39,1.23,0.08,-1.31,0.7,1.43,1.89,0.05,-0.54,1.51,1,1.73,-0.96,-0.44,-1.03,-1.26,-0.15,1.11,1.09,1.53,-3.14,-0.91,-1.33,-1.62,-0.87,-0.33,-0.17,-2.14,-3.61,-0.53,2.21,3.2
"Aberdeen Developing Markets R",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-0.02,1.44,-0.11,-0.49,-0.82,-0.7,-0.89,-0.04,-0.04,-0.35,-1.1,-1.36,-0.09,-0.15,-0.71,0.79,-0.02,0.02,0.63,0.26,-0.47,-0.66,-0.24,-1.16,2.54,-0.83,-0.11,0.23,-0.51,-1.63,-0.04,-0.42,-0.6,1.38,1.34,1.18,0.02,-1.36,0.66,1.36,1.84,0.05,-0.56,1.43,0.96,1.71,-1.01,-0.48,-1.05,-1.33,-0.21,1.09,1.05,1.52,-3.24,-0.95,-1.37,-1.53,-1,-0.29,-0.19,-2.2,-3.64,-0.68,2.08,3.15
"Aberdeen Emerging Markets Instl",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.44,0.36,-1.26,0.88,2,-1.46,1.66,2.88,-1.42,1.24,1.88,0.45,0.48,2.22,1.2,1.26,-0.15,2.28,0.56,2.83,0.79,-0.96,1.75,4.19,3.3
"Aberdeen Equity Long-Short A",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.37,-0.85,0.85,0.81,-0.16,-1.36,-0.29,-0.37,-0.56,-0.88,0.04,0.81,0.75,-0.45,1.34,1.17,-0.15,-0.89,0.39,2.25,-1.09,-0.32,-1.08,-0.73,-0.12,0.21,1.55,-2.51,0.8,-0.61,0.63,0.1,0.67,0.82,0.93,-0.33,-0.82,1.35,-0.61,2.42,0.21,0.82,-2.95,0.35,-0.26,-0.46,1.44,1.95,-1.6,-0.78,-2.86,1.69,-0.01,-1.32,1.63,-0.17,0.53,-1.78,-1.33,-0.8
"Aberdeen Equity Long-Short A LW",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.37,-0.85,0.85,0.81,-0.16,-1.36,-0.29,-0.37,-0.56,-0.88,0.04,0.81,0.75,-0.45,1.34,1.17,-0.15,-0.89,0.39,2.25,-1.09,-0.32,-1.08,-0.73,-0.12,0.21,1.55,-2.51,0.8,-0.61,0.63,0.1,0.67,0.82,0.93,-0.33,-0.82,1.35,-0.61,2.42,0.21,0.82,-2.95,0.35,-0.26,-0.46,1.44,1.95,-1.6,-0.78,-2.86,1.69,-0.01,-1.32,1.63,-0.17,0.53,-1.78,-1.33,-0.8
"Aberdeen Equity Long-Short B",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.35,-2.55,0.87,-0.61,0.47,0.08,0.65,0.73,0.89,-0.25,-0.75,1.2,-0.57,2.48,0.16,0.73,-3,0.53,-0.44,-0.42,1.26,1.91,-1.69,-1.03,-2.97,1.57,0.03,-1.22,1.58,0.01,0.44,-1.79,-1.2,-0.91
